source_id	migration_batch	thesis_scope	historical_path	sha256	hash_scope	physical_role	planned_target	migration_action	m0_status	dependency_note
DP-S302	M1	3.3.1	t_gamma_cali/t_2d_fit.C	6a96c48612f1e23523e1facd539b4e8e75adde9a48d6a81e1cb239779100b969	snapshot_exact	Implementation of t_2d_fit object copying and printing	analysis/data_preprocessing/src/t_2d_fit.cpp	migrate	frozen	Depends on ROOT TObject/TNamed streaming.
DP-S303	M1	3.3.1	t_gamma_cali/t_gamma_cali.h	863792122f3e733fcd337269a1ec143a39f0d3cc0fa2c506c23b86d801119e75	snapshot_exact	ROOT-streamable 15-crystal energy-calibration class and gain-switch interface	analysis/data_preprocessing/include/t_gamma_cali.hpp	migrate	frozen	Defines the historical low-/high-gain transition behavior used in GammaEnergy.
DP-S304	M1	3.3.1	t_gamma_cali/t_gamma_cali.C	f676990e5fece2f89e84e010a46a426d9805a5109a51c2f6b75ba745c4bae739	snapshot_exact	Energy conversion, three-point linear fits, and calibration-object implementation	analysis/data_preprocessing/src/t_gamma_cali.cpp	migrate	frozen	Optional RIBLLVMEDAQ include is guarded; no detector-DAQ class is needed for the current standalone build.
DP-S305	M1	3.3.1	t_gamma_cali/classLinkDef.hh	bcf2bf52e497929b8407df1650fbce0b55638cc246433704d4ce41ed504f9857	snapshot_exact	Historical ROOT dictionary declarations for calibration and shower-reconstruction types	analysis/data_preprocessing/include/LinkDef.h	migrate_calibration_subset	frozen	Portable M1 dictionary must include only t_2d_fit and t_gamma_cali; jiugong entries remain deferred.
DP-S306	M1	3.3.1	t_gamma_cali/classDict.C	8777690cf3779a1a0cdda2a5d149ebc2a1b7eca74e4a229993e2b42a3881cc93	snapshot_exact	Generated ROOT 6.22 dictionary containing absolute build paths	-	do_not_copy_regenerate	frozen	Regenerate with rootcling; retain the historical generated file only in the immutable snapshot.
DP-S307	M8	3.3.3	t_gamma_cali/jiugong_recon.h	784ee46f9965074234bbe263dd3a7b65b6f5f2ebff764b9982c6aab5352de83a	snapshot_exact	Shower reconstruction result type and templated neighbor-clustering logic	analysis/data_preprocessing/include/jiugong_recon.h;analysis/data_preprocessing/include/shower_reconstruction.h;analysis/data_preprocessing/src/shower_reconstruction.cxx	migrate_algorithm_and_definition	frozen	M8 preserves the one-MeV inclusive crystal threshold, orthogonal and diagonal neighbors, 50 ns aggregation, 100 ns core separation, descending-energy processing, and placeholder results.
DP-S308	M8	3.3.3	t_gamma_cali/jiugong_recon.C	57ae24452f3d21c080f513400e11742fca93bfe4ced33f95658e1ed95eb00ded	snapshot_exact	ROOT class implementation for shower-reconstruction results	analysis/data_preprocessing/src/jiugong_recon.cxx;analysis/data_preprocessing/include/ReconstructionLinkDef.h	migrate_and_regenerate_dictionary	frozen	M8 regenerates the ROOT dictionary from portable sources; the historical generated dictionary remains only in the immutable snapshot.
DP-S400	M5-M6	3.3.1-3.3.2	step3-time/gamma_time_cali.hh	b4d6b4eb47d20b24d2cb2b56ddf515348463421a5a6b0bb38c8f3346ff7be2c0	snapshot_exact	Production time correction used by step4 rootlogon and GammaTime	analysis/data_preprocessing/include/time_calibration.h;analysis/data_preprocessing/src/time_calibration.cxx	migrate_as_production_definition	frozen	get_time_cali subtracts the crystal-dependent T0 term; not byte-identical to DP-S403.
DP-S401	M5	3.3.1	step3-time/timeFigs/gamma_data.hh	b75f90d4daec288a840f3fa7f0cf7dd77b8c56626a35c30d30fbe3628b9b1c75	snapshot_exact	Raw gamma and T0 branch adapters used by the time-histogram ROOT macros	analysis/data_preprocessing/src/time_amplitude_spectra.cxx	migrate_branch_contract	frozen	Portable M5 reads the same Int_t GAMMA*_LOW_E GAMMA*_T and T0*_T branches without copying the historical iterator wrapper.
DP-S402	deferred	3.3.1-history	step3-time/timeFigs/gamma_data copy.hh	bd3f4f8c6e119d7c11f3985be360af7a1411b4e4cd052dbb8efa8e71a0a66f18	snapshot_exact	Earlier alternative implementation of the gamma branch adapter	-	preserve_history_only	frozen	Not loaded by the current timeFigs rootlogon; do not merge by filename alone.
DP-S403	M5	3.3.1	step3-time/timeFigs/gamma_time_cali.hh	753ef26e66af0387259394cc661d5f18e2e4c52291402e4eb85d136d798e18c6	snapshot_exact	Diagnostic time-correction header used by time_cali.C	analysis/data_preprocessing/include/time_calibration.h;analysis/data_preprocessing/src/time_calibration.cxx	preserve_and_compare	frozen	Unlike DP-S400 get_time_cali does not subtract par_cali[channel][2]; the historical macro conversion is exposed only through an explicitly diagnostic function.
DP-S404	M5	3.3.1	step3-time/timeFigs/rootlogon.C	49da2280e3ad1019af211ca75fa686ce044ead61424aeb9ee9fc1d7e31d54777	snapshot_exact	Defines the inverse time-amplitude fit model and parameter limits	analysis/data_preprocessing/include/time_fit_model.hpp	migrate_physics_model	frozen	The code that applies this fit to create f_00...f_14.root/out is not present in the snapshot.
DP-S405	M5	3.3.1	step3-time/timeFigs/time_orig.C	447ef2ef1d8edca0fd87a9e35ecf895c13d4a1a9c36d751611eeb83b7738d2f7	snapshot_exact	ROOT production of uncorrected time-amplitude histograms from raw events	analysis/data_preprocessing/include/time_amplitude_spectra.h;analysis/data_preprocessing/src/time_amplitude_spectra.cxx;analysis/data_preprocessing/apps/build_time_amplitude_spectra.cxx	migrate_with_config	frozen	Reads the nine 0303--0310 raw run patterns preserves inclusive 100--4000 TDC bounds 4-channel T0 averaging and all historical TH2I names and binning.
DP-S406	M5	3.3.1	step3-time/timeFigs/time_cali.C	e56c85c22a545935a64061ff0aedf04e0e5be105fb076c0886ae907d4e15cfdd	snapshot_exact	ROOT production of corrected diagnostic time-amplitude histograms	analysis/data_preprocessing/include/time_amplitude_spectra.h;analysis/data_preprocessing/src/time_amplitude_spectra.cxx;analysis/data_preprocessing/apps/build_time_amplitude_spectra.cxx	preserve_and_port_root	frozen	Portable diagnostic mode explicitly preserves the scaled-floating-to-unsigned conversion and remains separate from production GammaTime; no real-data equivalence claim is made.
DP-S407	M5	3.3.1	step3-time/read_and_project_x.cpp	da6943d354f21c079ff2db93e167e9aa639dc54d372a8999ed24fba02534d63f	snapshot_exact	Single-channel ROOT diagnostic that projects a stored TH2 canvas	plotting/root/project_time_fit_input.C	preserve_optional_root_diagnostic	frozen	Hard-coded to f_06.root and not an upstream production step.
DP-S408	M5	3.3.1	step3-time/drawTimeMod.ipynb	e7a276251c514709715adea19172579fb0b027a3a8d6a4353987629944297ce3	snapshot_sanitized	Historical Python display of stored time-fit ROOT canvases and parameter text	plotting/python/time_fit_diagnostics.py	preserve_python_history	frozen	Notebook outputs were removed during archival; hash is for the sanitized local snapshot, not the original server notebook.
DP-S409	M5	3.3.1	step3-time/DrawRebin.ipynb	862656569a9891278880b4a4c253882b1b4d44ecc8d5a61331684f7032734541	snapshot_sanitized	Historical Python 16x16 rebinning and before/after thesis figure rendering	plotting/python/plot_time_amplitude_correction.py	preserve_python_history_and_compare	frozen	Notebook outputs were removed during archival; the existing portable Python script is supplementary and must be checked against ROOT histograms.
DP-S500	M6	3.3.1-3.3.2	step4-convert.0308.PreRun/Makefile	b65ef4cdc5b02d743c140df7c4517cf32bf467f582b90882345571642bfd5140	snapshot_exact	Creates per-run ROOT macros by textual replacement of aa_example	analysis/data_preprocessing/config/central_beam_on_run_groups.tsv;tools/data_preprocessing.py	replace_with_explicit_run_manifest	frozen	The exact 60 run groups are retained without reproducing source-file mutation.
DP-S501	M6	3.3.1-3.3.2	step4-convert.0308.PreRun/rootlogon.C	60d0d6022e9699d6bf92d4002dd9d824b491c115390fdc16d7a65b5c16d251e2	snapshot_exact	Loads t_gamma_cali, the production time header, and gamma_data	analysis/data_preprocessing/CMakeLists.txt	replace_with_declared_dependencies	frozen	Confirms DP-S400, not DP-S403, is used for production GammaTime.
DP-S502	M6	3.3.1-3.3.2	step4-convert.0308.PreRun/gamma_data.hh	6c12684c8ba194d41c45a4c29c8f4106f37b9edcd4c0df954827281698c2a303	snapshot_exact	Production raw branch adapters for 32 ADC, 32 gamma-TDC, and four T0 slots	analysis/data_preprocessing/include/gamma_raw_data.hpp	migrate_as_production_definition	frozen	Compared with DP-S401: branch mappings are identical; only interface const and static qualifiers differ.
DP-S503	M6	3.3.1-3.3.2	step4-convert.0308.PreRun/aa_example.C	177ff86445fcb573472bb9a7bfaf8d80d6a399a0a930693bc19e62d1a5905b6b	snapshot_exact	Per-run calibrated-event tree, GammaEnergy/GammaTime production, and later shower reconstruction	analysis/data_preprocessing/include/calibrated_event_tree.h;analysis/data_preprocessing/src/calibrated_event_tree.cxx;analysis/data_preprocessing/apps/build_calibrated_event_tree.cxx	extract_current_scope_only	frozen	M6 migrates energy/time and retained raw branches only; shower reconstruction veto and spectra remain deferred to M8 and later.
DP-S504	M7	3.3.2	step4-convert.0308.PreRun/draw_GammaTimeDiff.C	6ad88f3440b6b79356f13701769d2d65eb48027f61fafcd050fc904cedcfd2c6	snapshot_exact	Original ROOT plots for CsI05/CsI06 time correlation, energy cut, time difference, and single-channel diagnostics	analysis/data_preprocessing/src/neighbor_time_diagnostics.cxx;analysis/data_preprocessing/apps/build_neighbor_time_diagnostics.cxx;plotting/root/draw_neighbor_time_diagnostics.C	migrate_objects_and_preserve_rendering	frozen	The six unscaled ROOT objects are authoritative; the peak-height ratio is applied only by the display layer, and Python horizontal composition remains supplementary.
DP-S600	M8	3.3.3	step4-convert.0308/aa_example.C	42ab302005e6e29a4f5ea7e2f7b7c1c7fb38bebdf02adcb4eed4d10ea2ad8d79	snapshot_exact	Central 0308 per-run calibrated-event and shower-reconstruction producer	analysis/data_preprocessing/include/reconstructed_event_tree.h;analysis/data_preprocessing/src/reconstructed_event_tree.cxx;analysis/data_preprocessing/apps/build_reconstructed_event_tree.cxx	migrate_from_historical_entry	frozen	M8 consumes the M6 tree, retains its branches, writes recon_result and count_veto, and preserves central/side/corner roles plus strict three-face veto counting; M9 retains run-group orchestration and spectrum merging.
DP-S601	M9	3.3.4-3.3.5	step4-convert.0308/Makefile	b65ef4cdc5b02d743c140df7c4517cf32bf467f582b90882345571642bfd5140	snapshot_exact	Generic per-run template-expansion and ROOT execution rules	analysis/data_preprocessing/config/central_beam_on_run_groups.tsv;analysis/data_preprocessing/config/central_beam_off_run_groups.tsv;tools/data_preprocessing.py	replace_mutating_template_with_explicit_manifests	frozen	Byte-identical to DP-S500. This Makefile defines how one target is generated but does not list the 60 beam-on and six beam-off groups; the reviewed lists are frozen separately from the historical DataPreprocessing README and explicit downstream file lists.
DP-S602	M9	3.3.4-3.3.5	step4-convert.0308/all_recon.C	bbea45151526a9d964adf76d8911e10b5ea139a9c3a80e89f1c705b302176209	snapshot_exact	Merge beam-on per-crystal reconstructed spectra into central, side, and total spectra	analysis/data_preprocessing/apps/merge_reconstructed_spectra.cxx	migrate_with_explicit_sample_role	frozen	Central crystals use h_recon; side crystals use h_recon_veto; input is all_notree.root and output is all_recon.root.
DP-S603	M9	3.3.4-3.3.5	step4-convert.0308/all_recon_BKG.C	8cd1aad63ba7f83ea3e88462387987371ffb23ea79c93e86043dd1e5e5802478	snapshot_exact	Merge beam-off per-crystal reconstructed spectra into central, side, and total spectra	analysis/data_preprocessing/apps/merge_reconstructed_spectra.cxx	migrate_with_explicit_sample_role	frozen	Same grouping contract as DP-S602; input is all_notree_BKG.root and output is all_recon_BKG.root.
DP-S604	M11	3.5-3.6	step4-convert.0308/EnergySpecGen.C	6e8aa1986c3c67bb5aee5cd4341b1fdef70e868f76c35d057d511376fb66e980	snapshot_exact	Normalize beam-off background in 110--200 MeV and form the central measured gamma spectrum	analysis/data_preprocessing/apps/build_observed_spectrum.cxx	migrate_preserving_histogram_arithmetic	frozen	Reads h_total_E_M1 from all_recon.root and all_recon_BKG.root, rebins to 1 MeV, and writes spectrum_110.root:histDiff without truncating bins above 100 MeV.
DP-S721	M11	3.5-3.6	step10-DifferentTriggerMode/RemoveSSDM2/README	5d102dcbefba4f35b8d8fa050973973cbbfe670bbcade734fcccf6d124597ee0	snapshot_exact	Documents SSD M2 exclusion and the equal-width signal and random timing windows	analysis/data_preprocessing/include/fast_coincidence_spectra.h	freeze_fast_cross_check_contract	frozen	The signal window is -350 to -50 ns and the random window is 50 to 350 ns.
DP-S722	M11	3.5-3.6	step10-DifferentTriggerMode/RemoveSSDM2/step4-convert.0308.data/aa_example.C	9a3c130643530ac9c9cba132aaa84244579a64d4f356e6f80277a4d8719423a8	snapshot_exact	Excludes strict 835<TDC_Gamma_Trig[18]<850 and fills reconstructed spectra in the inclusive signal window	analysis/data_preprocessing/src/fast_coincidence_spectra.cxx	migrate_selection_from_stored_reconstruction	frozen	The portable producer consumes M8 recon_result and count_veto instead of repeating calibration and shower reconstruction.
DP-S723	M11	3.5-3.6	step10-DifferentTriggerMode/RemoveSSDM2/step4-convert.0308.bkg/aa_example.C	1e75cb90eccc75143f4cd0cd9c52640ef818df88cb32a22b52feb6d5c749882a	snapshot_exact	Applies the same SSD M2 exclusion and fills reconstructed spectra in the inclusive random window	analysis/data_preprocessing/src/fast_coincidence_spectra.cxx	migrate_selection_from_stored_reconstruction	frozen	This source differs from DP-S722 in the time-window line.
DP-S724	M11	3.5-3.6	step10-DifferentTriggerMode/RemoveSSDM2/step4-convert.0308.data/all_recon.C	bbea45151526a9d964adf76d8911e10b5ea139a9c3a80e89f1c705b302176209	snapshot_exact	Combines central reconstructed spectra with three-face-veto-silent side spectra	analysis/data_preprocessing/src/fast_coincidence_spectra.cxx	migrate_candidate_aggregation	frozen	The same file is byte-identical in the data and background branches.
DP-S725	M11	3.5-3.6	step10-DifferentTriggerMode/RemoveSSDM2/step4-convert.0308.data/EnergySpecGen.C	ccc2406c46bd9d0563654ad248617b221801158d36a0397a83eef693c44f0aa8	snapshot_exact	Directly subtracts the equal-width random-window spectrum without an extra scale factor	analysis/data_preprocessing/src/observed_spectrum.cxx	migrate_fast_histogram_arithmetic	frozen	Writes spectrum_110.root:histDiff after rebinning by five; the 110 MeV label is historical and is not a fast-branch normalization operation.
DP-S605	deferred	3.6-adjacent	step4-convert.0308/NormCompare.C	ae24b9f6e8eb96c14f141544513b52bf1816fe0031bded31f5baf305c7df62d9	snapshot_exact	Compare spectra produced with 100, 110, and 120 MeV background-normalization thresholds	-	reference_only_until_systematic_role_confirmed	frozen	Preserve as a background-normalization diagnostic; current evidence does not establish it as an input to the published nine-spectrum calibration systematic.
DP-S700	M10	3.3.4-3.4.1	step7-DeltaYrelated/h2_check.C	d2870f286774c24f878b9eccdb7e9c2da1f3beecc1379a29aab91f321286096e	snapshot_exact	Produce central Chapter 3 beam-on multiplicity, topology, energy, timing, and spatial-spread ROOT objects	analysis/data_preprocessing/apps/build_chapter3_diagnostics.cxx	migrate_with_reviewed_run_manifest	frozen	Reads the 60 PreRun GammaCaliData files, reconstructs candidates again with jiugong_recon, applies the documented central/side and side-veto rules, and writes h2_check.root.
DP-S701	M10	3.3.4-3.4.1	step7-DeltaYrelated/h2_check_BKG.C	6cd1dbee9b64c1f92e1faa19a9176c007bb72ffc0bd88ea242f18af9daad8409	snapshot_exact	Produce the corresponding beam-off Chapter 3 diagnostic ROOT objects	analysis/data_preprocessing/apps/build_chapter3_diagnostics.cxx	migrate_with_reviewed_run_manifest	frozen	Reads the six reviewed PreRun beam-off file groups and writes h2_check_BKG.root; absolute historical paths must become configuration.
DP-S702	M10	3.3.4-3.4.1	step7-DeltaYrelated/gamma_position.hh	91dfd18834ff0584f907d1fc7ff3829e56c4724ac4030ffb75bf5d217790e499	snapshot_exact	Fifteen-crystal position map used by the Chapter 3 topology observables	analysis/data_preprocessing/include/gamma_position.hpp	migrate_geometry_definition	frozen	Geometry values are part of the observable definition and must be checked against the reviewed detector geometry before public release.
DP-S703	M10	3.3.4-3.4.1	step7-DeltaYrelated/get_ax_ay.hh	2f38bde0d3ff6b61ac340c53e96573e117abea2b3354421d9f654846aef625ce	snapshot_exact	Energy-weighted transverse spread observables used for delta-x and delta-y	analysis/data_preprocessing/include/spatial_spread.hpp	migrate_physics_definition	frozen	Defines the quantities entering the energy-interval spatial-correlation and spread figures.
DP-S704	M10	3.3.4-3.4.1	step7-DeltaYrelated/get_sx_sy.hh	ddd328313ccaf778bc6ebb193ccf66c2f8af9c55bd681925867ba8f4f75e824d	snapshot_exact	Auxiliary crystal-index spread observable used in historical diagnostics	analysis/data_preprocessing/include/spatial_spread.hpp	migrate_and_distinguish_from_delta_observables	frozen	Keep separate semantics from the physical-coordinate delta-x and delta-y quantities.
DP-S705	M10	3.3.4-3.4.1	step7-DeltaYrelated/get_pth_array.hh	0717d46b242b651073ebee14fd96ad58735b6702b227da49258335f49a61c3c7	snapshot_exact	Helper macros for dereferencing per-crystal threaded ROOT objects	analysis/data_preprocessing/src/chapter3_diagnostics.cxx	replace_with_typed_helpers	frozen	Software helper only; no independent physical selection.
DP-S706	M10	3.3.4-3.4.1	step7-DeltaYrelated/my_make_unique.hh	07a1d6522975bd4c51e8af4c2f7e8cee87e073a32fbc398edc7f1c3cb677af1a	snapshot_exact	C++11 compatibility helper used to construct threaded histogram holders	-	replace_with_standard_library_when_supported	frozen	Software compatibility helper only.
DP-S707	M10	3.3.4-3.4.1	step7-DeltaYrelated/Drawhistos.C	9302e43a298451a55d7f5964c3909349a7d9573c3d694bf79ded27cc2d54444e	snapshot_exact	Original ROOT rendering of the principal beam-on Chapter 3 diagnostic objects	plotting/root/chapter3_diagnostics.C	preserve_original_rendering_reference	frozen	Presentation code is downstream of DP-S700 and does not define the event selections.
DP-S708	M10	3.3.4-3.4.1	step7-DeltaYrelated/Drawhistos_BKG.C	1772f3fd98add7fecf30b24ecc6d3be006d0c70ba8ed6584c95151b51daf9a34	snapshot_exact	Original ROOT rendering of the corresponding beam-off diagnostic objects	plotting/root/chapter3_background_diagnostics.C	preserve_original_rendering_reference	frozen	Presentation code is downstream of DP-S701.
DP-S709	M10	3.3.4-3.4.1	step7-DeltaYrelated/DrawHIST.ipynb	753dabc119b428214b5567a1d97ae862e6e802d95bbd766c50c350df010b4707	snapshot_sanitized	Historical notebook for composing and inspecting Chapter 3 diagnostic plots	plotting/python/	preserve_python_history_only	frozen	Notebook outputs were removed during archival; Python redraw scripts remain supplementary to the ROOT producers and selections.
DP-S710	M10B	3.3.4	step8-TimeCheck/step6-TimeWalkPlot/step4-convert.0308/aa_example.C	7151e4d5d3242bc59ae18b4a9769ae68930f19a6e98b183e05f6ca333908902a	snapshot_exact	Retains the 32-element hardware trigger-monitor TDC array as TDC_Gamma_Trig_list in GammaCaliData	analysis/data_preprocessing/include/gamma_raw_data.hpp;analysis/data_preprocessing/src/calibrated_event_tree.cxx;analysis/data_preprocessing/src/reconstructed_event_tree.cxx	migrate_retained_branch	frozen	The earlier PreRun source does not retain this array; M6 and M8 must propagate it explicitly for M10B.
DP-S711	M10B	3.3.4	step8-TimeCheck/step6-TimeWalkPlot/step7-DeltaYrelated/checkTrig.C	418620f294bd0acafaa0ce99e495f9571f6ec141eaa7c8e2c3c06de982aef182	snapshot_exact	Produces h1_TrigList0--14 from strict 100<TDC<4000 trigger-monitor values	analysis/data_preprocessing/src/trigger_diagnostics.cxx	migrate_histogram_definition	frozen	All 15 monitor objects are retained; the thesis figure reads objects 1,2,3,4,6,0.
DP-S712	M10B	3.3.4	step8-TimeCheck/step6-TimeWalkPlot/step7-DeltaYrelated/Drawhistos.C	3b7879ca75eb1c7625b53fcad6cefed89ede0a63334e393f1f72e1338edafb9a	snapshot_exact	Historical ROOT rendering of the trigger-monitor TDC distributions	plotting/root/draw_trigger_tdc_distributions.C	preserve_original_rendering_reference	frozen	Presentation code does not define the monitor histogram fill condition.
DP-S713	M10B	3.3.4	step8-TimeCheck/step5-onlygamma/step4-convert.0308/aa_example.C	b4b72a3a7894873849a0b2e9fe9094661c6d769fcecc2f148be00116cd4029ac	snapshot_exact	Selects valid trigger-monitor element 17 for SSD M1 and CsI M1	analysis/data_preprocessing/src/trigger_diagnostics.cxx	migrate_trigger_condition	frozen	Uses inclusive 100<=TDC<=4000 before the common time-energy diagnostic producer.
DP-S714	M10B	3.3.4	step8-TimeCheck/step5-SSDM2/step4-convert.0308/aa_example.C	0a4ab3f0adf54a7323e632cdee309287d8ea94e38259352b1f32bec3b581494c	snapshot_exact	Selects valid trigger-monitor element 18 for SSD M2	analysis/data_preprocessing/src/trigger_diagnostics.cxx	migrate_trigger_condition	frozen	Uses inclusive 100<=TDC<=4000 before the common time-energy diagnostic producer.
DP-S715	M10B	3.3.4	step8-TimeCheck/step5-NAandSSD/step4-convert.0308/aa_example.C	fc15e15a6a1a3904d3f13cb990e8e10b2cfe64ba05d3e5dc5c631479298ef6da	snapshot_exact	Selects valid trigger-monitor element 19 for SSD M1 and NA M1	analysis/data_preprocessing/src/trigger_diagnostics.cxx	migrate_trigger_condition	frozen	Uses inclusive 100<=TDC<=4000 before the common time-energy diagnostic producer.
DP-S716	M10B	3.3.4	step8-TimeCheck/step5-T0andNA/step4-convert.0308/aa_example.C	e8704bf23643bd02e883a792ba43a4f41c15422c9b401ed22ee6ddee43801ad3	snapshot_exact	Selects valid trigger-monitor element 20 for NA M1 and T0	analysis/data_preprocessing/src/trigger_diagnostics.cxx	migrate_trigger_condition	frozen	Uses inclusive 100<=TDC<=4000 before the common time-energy diagnostic producer.
DP-S717	M10B	3.3.4	step8-TimeCheck/step5-T0LS/step4-convert.0308/aa_example.C	01acd48bf820fceb1fae6d3d2c6498cd743a927750a2338eb13c3521e895b3b4	snapshot_exact	Selects valid trigger-monitor element 22 for LS and T0	analysis/data_preprocessing/src/trigger_diagnostics.cxx	migrate_trigger_condition	frozen	Uses inclusive 100<=TDC<=4000 before the common time-energy diagnostic producer.
DP-S718	M10B	3.3.4	step8-TimeCheck/step5-onlygamma/step7-DeltaYrelated/h2_check.C	4e788e7068c893b39a159f58dd36d59af3250b9ee8831056e956bab05c264e6f	snapshot_exact	Produces ALL_h2_TOF_TotalE for each trigger-conditioned branch	analysis/data_preprocessing/src/trigger_diagnostics.cxx	migrate_and_name_selection_variants	frozen	The frozen macro requires veto silence for central cores and not side cores, opposite to the author-reviewed main-analysis rule; M10B writes both definitions under distinct names.
DP-S719	M10B	3.3.4	step8-TimeCheck/step5-onlygamma/step7-DeltaYrelated/Drawhistos.C	1cf162e27356bf296ab273bf113f9f169b761f51eccff65b5cf1d1347027f545	snapshot_exact	Historical ROOT rendering of each trigger-conditioned time-energy object	plotting/root/draw_trigger_energy_time_correlations.C	preserve_original_rendering_reference	frozen	The same file is byte-identical across the five trigger branches.
DP-S720	M10B	3.3.4	step8-TimeCheck/step6-TimeWalkPlot/step7-DeltaYrelated/TriggerTDC.ipynb	4471c56785421b81d41b9cddd9b38e2c65181550ee0b4640eba10bbb030eab6e	snapshot_sanitized	Historical notebook composing trigger-monitor objects 1,2,3,4,6,0 into analysis-note Fig. 14	plotting/plot_trigger_tdc_distributions.py	preserve_panel_mapping_and_presentation	frozen	Notebook outputs were removed during archival; the hash is for the sanitized snapshot.
DP-S800	M12	3.6	step4-convert.0308.PreRun/MoreFigs/SpecCompare.ipynb	a65dbf35ff854fcbbb63c73f7b8bc2cd481392e3163cdd368c3f43d9481d84ea	snapshot_sanitized	Historical central, side, and total spectrum comparison after separately normalized beam-off subtraction	plotting/python/plot_central_edge_consistency.py	preserve_selection_and_reimplement_presentation	frozen	Reads six objects from all_recon and all_recon_BKG, normalizes backgrounds over 110--200 MeV, then compares signal spectra over 35--100 MeV; center .0308 versus PreRun input equivalence still requires runtime object comparison.
