source_ids	portable_path	portable_sha256	artifact_role	migration_status	verification	note
DP-S200;DP-S201	analysis/data_preprocessing/src/energy_calibration.cxx	c84a6edb19cea62ab5ecd8840ff9e01d905bbb35ddc632c6e76e5ad6679da43e	analysis_implementation	migrated	server_root_synthetic_test_passed	Retains the reused Co-60 double-Gaussian function channel-specific windows Gaussian Th-nat fit peak-width x errors three-point t_gamma_cali fit f_data embedding 4-by-4 layout and historical ROOT object names while parameterizing input and output paths.
DP-S200;DP-S201	analysis/data_preprocessing/apps/fit_energy_calibration.cxx	724a1ed26a631f5a8c3cdf85f7dcc301d7a211bd60692601e0e8030d1ab7b7d6	command_line_entry	added	server_config_and_synthetic_test_passed	Accepts separate M2 and M3 ROOT inputs a protected output and report paths exposes the frozen configuration and provides optional canvas exports.
DP-S200;DP-S201	analysis/data_preprocessing/tests/test_energy_calibration.cxx	3d2305cf653ed88ef673ddc581f13211f877e9ea0760be72c24fef7bf76f9599	synthetic_root_validation	added	server_root_synthetic_test_passed	Checks all 15 channel windows peak fits Gaussian-width x-error semantics three-point calibration f_data embedding historical ROOT keys canvas layout report and overwrite guard with synthetic ROOT inputs.
DP-S400;DP-S403	analysis/data_preprocessing/include/time_calibration.h	1b4872f8fbd8af546993ad36faf71a1753c322e4ef63e3314765ac7b3273ca38	public_analysis_header	migrated	server_data_free_test_passed	Defines the 15 historical C0 E0 T0 triplets strict event-production TDC validity window production correction distinct diagnostic no-offset expression and explicit historical macro conversion; it does not claim to reproduce the missing batch fit.
DP-S400;DP-S403	analysis/data_preprocessing/src/time_calibration.cxx	b86eeaac6bcbd6313e92d168bc59530687316d9e75d8841b36e126e5c11207f2	analysis_implementation	migrated	server_data_free_test_passed	Preserves the production get_time_cali formula including T0 subtraction and separately names both the diagnostic expression and the historical floating-to-unsigned macro conversion so their semantics cannot be silently merged.
DP-S400;DP-S403	analysis/data_preprocessing/tests/test_time_calibration.cxx	a63822993cab6acc5f93aeac06b0cfd1c294ebca52f95e658c5ebc06bc88e950	data_free_validation	added	server_data_free_test_passed	Checks parameter-array boundaries TDC units strict event-production window production and diagnostic formulas exact T0 difference NaN handling channel bounds and the historical implicit macro conversion without ROOT data.
DP-S401;DP-S405;DP-S406	analysis/data_preprocessing/include/time_amplitude_spectra.h	2be69216da5aeee278c75d758a0de8a71799b0e591ff91962c68adb00ba45136	public_analysis_header	migrated	server_synthetic_root_test_passed	Defines the reviewed nine-pattern raw-input contract original and historical-diagnostic modes exact histogram schemas inclusive TDC bounds and execution summary.
DP-S401;DP-S405;DP-S406	analysis/data_preprocessing/src/time_amplitude_spectra.cxx	e3565e0ea4c78d8566849bcc653ae4c1bdead29ee6325079c27a2fd473be5ea0	analysis_implementation	migrated	server_synthetic_root_test_passed	Preserves the tree and Int_t branch schema four-channel T0 offsets and averaging inclusive 100 and 4000 input bounds original 60 plus 15 TH2 objects and the explicit diagnostic macro conversion while parameterizing paths threads reports and overwrite protection.
DP-S401;DP-S405;DP-S406	analysis/data_preprocessing/apps/build_time_amplitude_spectra.cxx	2f7ae8ffaef9d37b4e84b19adce4e24f45316e5453f0efab4d99930b769a35c0	command_line_entry	added	server_config_and_synthetic_test_passed	Provides original and historical-corrected modes configurable input output report and thread count frozen configuration printing and an explicit warning that the corrected mode is diagnostic only.
DP-S401;DP-S405;DP-S406	analysis/data_preprocessing/tests/test_time_amplitude_spectra.cxx	296a87c3840e31ac698a182c7fa0338edfff0c4e0f8d942ab81fc51b460ba790	synthetic_root_validation	added	server_root_test_passed	Checks input patterns schema inclusive boundaries T0 averaging event skipping exact histogram names types and binning original and diagnostic modes report generation overwrite rejection and missing-branch failure without experimental data.
DP-S400;DP-S403;DP-S404;DP-S407;DP-S408;DP-S409	analysis/data_preprocessing/include/time_fit_outputs.h	52119da6d4f8a5547b20932481d1f59379b5eb73de0e0f3d0aec8ce281816e6a	public_audit_header	added	server_synthetic_and_historical_audit_passed	Defines parsed fit summaries and the read-only 15-channel historical ROOT/text artifact audit without claiming fit reproduction.
DP-S400;DP-S403;DP-S404;DP-S407;DP-S408;DP-S409	analysis/data_preprocessing/src/time_fit_outputs.cxx	b152a8ca9ad051c82ed3a27ea47df84010c80ed876205f717c3be923c35f3d5f	artifact_audit_implementation	added	server_synthetic_and_historical_audit_passed	Requires f_00 through f_14 ROOT/text pairs checks Canvas_1 and a TH2 parses fit statistics and uncertainties and compares C0 E0 T0 with production values; it never refits or rewrites inputs.
DP-S400;DP-S403;DP-S404;DP-S407;DP-S408;DP-S409	analysis/data_preprocessing/apps/inspect_time_fit_outputs.cxx	fa2ffd8b7c1f2bcdb3a84a283002b2efbb3d88837ed7fc93f7a9feda3de65bc1	command_line_audit_entry	added	server_historical_15_pair_audit_passed	Writes a public-safe TSV artifact report from an authorized historical fits directory and fails on missing objects or parameter mismatches.
DP-S400;DP-S403;DP-S404;DP-S407;DP-S408;DP-S409	analysis/data_preprocessing/tests/test_time_fit_outputs.cxx	94877aad3c2a0b6f1552f9607fe41c116eac787f3badbc91116f1b61cc203d2f	synthetic_root_validation	added	server_root_test_passed	Builds 15 synthetic Canvas_1 ROOT/text pairs and checks parsing object discovery parameter equality report generation nested-directory creation overwrite protection and repeatable process-isolated temporary outputs.
DP-S000;DP-S100	analysis/data_preprocessing/include/output_path_support.h	3580401e36ac0078d8f23e7a4262a6f70391fd56c050c5e965bf8efa13bb6f59	portable_output_support	added	server_m2_m3_nested_output_tests_passed	Creates missing parent directories recursively after input preflight while preserving the existing no-overwrite checks.
DP-S000;DP-S100;DP-S200;DP-S201;DP-S301;DP-S303;DP-S307;DP-S308;DP-S400;DP-S401;DP-S403;DP-S404;DP-S405;DP-S406;DP-S500;DP-S501;DP-S502;DP-S503;DP-S504;DP-S600;DP-S601;DP-S602;DP-S603;DP-S604;DP-S700;DP-S701;DP-S702;DP-S703;DP-S704;DP-S710;DP-S711;DP-S712;DP-S713;DP-S714;DP-S715;DP-S716;DP-S717;DP-S718;DP-S719;DP-S721;DP-S722;DP-S723;DP-S724;DP-S725;DP-S801;DP-S802;DP-S803	tools/data_preprocessing.py	ad1d14dc6a80a6028f2c659e4d5737d3dd21e53f5d410b577b4bb234b89f9a13	unified_reproduction_entry	added	local_orchestration_test_passed	Provides protected M2--M12 run directories and an exact 59-group reconstruction-spectrum merge entry that rejects altered run manifests; M12 remains a read-only observed-spectrum interface.
DP-S000;DP-S100;DP-S200;DP-S201;DP-S307;DP-S308;DP-S400;DP-S401;DP-S403;DP-S404;DP-S405;DP-S406;DP-S500;DP-S501;DP-S502;DP-S503;DP-S504;DP-S600;DP-S601;DP-S602;DP-S603;DP-S604;DP-S700;DP-S701;DP-S702;DP-S703;DP-S704;DP-S710;DP-S711;DP-S712;DP-S713;DP-S714;DP-S715;DP-S716;DP-S717;DP-S718;DP-S719;DP-S721;DP-S722;DP-S723;DP-S724;DP-S725;DP-S801;DP-S802;DP-S803	tools/tests/test_data_preprocessing_tool.py	0845ad6bc870534d2677634b4e0b4ac511a3294f9f3294891d37cdcce98bb818	unified_entry_validation	added	local_full_python_suite_passed	Checks the exact 59-group figure-manifest invariant, successful protected merge orchestration and rejection of altered sample manifests in addition to the existing M2--M12 tests.
-	tools/source_index.py	8a6c5c90ca20ff9a7705bc15f3b03c139fbf2ffed81ac9d45249225a2d4f109d	provenance_discovery_tool	added	local_python_tests_and_full_snapshot_index_passed	Builds a read-only internal index of relative source paths hashes includes candidate symbols ROOT branches objects and file strings; exact duplicates use full-file SHA-256 and matches never select a production version.
-	tools/tests/test_source_index.py	9bdf1bd7dbe9d0d251b471e1952ac74c51c5aafd76baf3e79233835cf6430538	provenance_tool_validation	added	local_python_suite_passed	Checks evidence extraction candidate queries exact duplicate grouping and exclusion of the snapshot absolute path.
-	tools/pipeline_workflow.py	b02ddd5a5548eafafbc49d872aeef46c8e46b7e5f5d4d0093bd415e4519bf6ac	pipeline_registry_tool	updated	local_python_tests_and_registry_check_passed	Validates and queries the reviewed M0B-M13 dependency artifact ROOT-object source-ID thesis-output and unresolved-question registry and rejects account-like public metadata without storing internal usernames.
-	tools/tests/test_pipeline_workflow.py	ac12fd4c768ee39bf57254050c2ae73d6767a87547077ffa85f60d46c2cbeb05	pipeline_tool_validation	updated	local_python_suite_passed	Checks artifact dependencies cycles private-path and account rejection next-stage selection and object-to-stage tracing.
-	tools/figure_workflow.py	dc6eebcd0aa171786727b1b691cf67d54f4d9c29fc78ed385f95ad379bd91cb2	figure_record_tool	updated	local_python_tests_and_record_checks_passed	Creates and validates staged public-safe figure provenance records and rejects absolute paths credentials and generic account-like strings without running analysis or approving figures.
-	tools/tests/test_figure_workflow.py	4725a112ad3b905a96ec41e137e564f320c18d5d819e55ed9c98ea91049cd98f	figure_record_tool_validation	updated	local_python_suite_passed	Checks staged record dependencies checksum-only external artifacts private paths and generic account rejection.
-	analysis/data_preprocessing/provenance/pipeline_stages.json	2f46e6adca7428ebad26598d00287e3887041f0f4a4ac139b6d30d331b8af9c7	machine_readable_pipeline_registry	updated	registry_structure_passed	Closes M0B after freezing the before/after reconstruction spectrum chain and records approved M13 citation and BSD-3-Clause release metadata while preserving the later physics and full-data rerun boundaries.
-	LICENSE	d0fd823c45648cacb2cea28aa6124a53caf2ccb22667f5c8e1a1eced7663af8c	software_license	added	author_approved_bsd_3_clause	Licenses the public analysis source code and documentation; experimental data and generated analysis products remain outside the repository.
DP-S409;DP-S604	CITATION.cff	5a208ecb50b931ce512a3800e1e98e83bc6e2898ddba48ad42689fdd29f64576	citation_metadata	updated	author_approved_citation_license_and_repository_recorded	Provides machine-readable BSD-3-Clause software metadata the canonical GitHub repository URL and both required PRC and PRR associated citations without importing later physics-analysis code.
DP-S409;DP-S604;DP-S801;DP-S802;DP-S803	README.md	9dad7749317a03e3d07e68b58f11ed5d0a5da4ff9e6d689c27b1ca35cd005786	public_project_navigation	updated	m13_documentation_reviewed	Defines the public repository scope and directs users to the ordered runbook compact input-output map data contract citation and no-data release boundary.
DP-S409;DP-S604;DP-S801;DP-S802;DP-S803	REPRODUCE.md	fc56ae0353f7dc3822810e3b2cacafd4ab4bec249e09b3fb706a262f5627a88e	reproduction_entry	updated	documentation_roles_reviewed	Defines requirements verification evidence boundaries and navigation while delegating the only complete M2--M12 command sequence to the ordered Chapter 3 guide.
DP-S409;DP-S604;DP-S801;DP-S802;DP-S803	docs/CHAPTER3_END_TO_END.md	762972bbb1761c3962a11ce076858ed6e99a952998466af818adf988b4195e82	ordered_end_to_end_guide	added	m2_m12_handoffs_reviewed	Defines one exact M2--M12 run order including explicit results directories exact manifests separate beam-on and beam-off M6 executions protected outputs completion checks and the full-data evidence boundary.
DP-S409;DP-S604;DP-S801;DP-S802;DP-S803	docs/DATA_ACCESS.md	cfa903605511f988337753089e7f5b3b4c4cd05e0016ea1b333539d014b91aaf	public_input_contract	updated	m2_m12_input_roles_reviewed	Defines public-safe input trees branches calibration artifacts beam-on and beam-off roles and outputs while excluding later physical-interpretation inputs and private paths.
DP-S409;DP-S604;DP-S801;DP-S802;DP-S803	docs/ANALYSIS_IO_MAP.md	21d7d418c235aaeae2b5fd548a63549073b3e20b297fba782fdef3139b8d4c6d	public_stage_io_crosswalk	added	m0b_m13_registry_crosschecked	Provides one compact public-safe crosswalk from physical input roles through portable outputs principal ROOT handoffs downstream consumers sample manifests and evidence status without collaborator paths.
DP-S409;DP-S604;DP-S801;DP-S802;DP-S803	analysis/README.md	5152fb7d6e5162a3111a7ee5e4479ebbcb3a8a08fa6a7ebc121efc807b151634	analysis_navigation	updated	m1_m12_scope_reviewed	Defines data_preprocessing as the complete repository scope and summarizes the migrated M1--M12 calibration reconstruction background and observed-spectrum components.
DP-S409;DP-S604;DP-S801;DP-S802;DP-S803	analysis/data_preprocessing/README.md	3b160ea35257ae95a6645c9b305b1e25c1915445ba20a76677d8afacccfcae11	analysis_component_navigation	updated	m13_status_reviewed	Records M0B source closure and the ROOT-Python boundary and links the compact stage crosswalk while preserving the full-data rerun and later-analysis boundaries.
DP-S409;DP-S604	tools/README.md	9f0f461534daf5aa30ad826c54b83eb58a514be124b19c281a89209760f9745e	tooling_navigation	updated	m13_documentation_reviewed	Documents the command-surface role of each tool and the strict BSD-3-Clause license and citation checks and points full runs to the ordered guide.
DP-S409;DP-S604;DP-S801;DP-S802;DP-S803	tools/repository_closure.py	f1ead4dcc6c1d967f20e96791f35bbf74a712dc7ed2b62c1298e4f7845bfa90b	repository_closure_entry	updated	local_closure_audit_passed	Checks manifests pipeline figure records required documents BSD license citation metadata ordered handoffs private mounts and generic account-like strings without storing internal usernames.
DP-S409;DP-S604	tools/tests/test_repository_closure.py	5884f5814bbb4a60e66539893fb15bb47f2997dc77f23557e54eee5221479866	repository_closure_validation	updated	local_python_suite_passed	Checks privacy scan exclusions generic account rejection required documents BSD license citation metadata and both beam-on and beam-off M6 handoffs in the authoritative end-to-end guide.
DP-S409;DP-S604;DP-S801;DP-S802;DP-S803	docs/REPRODUCIBILITY_STATUS.md	44e5eb98bc2db6ec53accebb91538569e5d71b0d9416e2194d5c90ffafc45eea	public_reproducibility_status	updated	m13_boundary_reviewed	Defines the migrated-code evidence level points to the compact stage map and records excluded data products historical-object checks and the pending full-data run.
DP-S409;DP-S604;DP-S801;DP-S802;DP-S803	analysis/data_preprocessing/M13_REPOSITORY_CLOSURE_REVIEW.md	61069d7d461cf87f2b0cbcdc233e1c9dbc53f209a2c948a09cc90f43496bdf08	migration_review	updated	m13_closure_reviewed	Documents M13 repository closure the approved citation and BSD-license metadata the no-data release boundary and subsequent M0B source closure without claiming a full experimental rerun.
DP-S409	plotting/records/time-amplitude-csi05.json	be4f7cc247dfb812a770ec38c2c34504d220fc4fe25d6dfc2b962cc547f67f1e	figure_workflow_record	added	real_data_record_checked	Records source contract validation author approval and adopted checksum for the CsI05 time-amplitude figure.
DP-S409	plotting/records/time-amplitude-all.json	bebe66d0cc3b6045165be528ea9349719bcd8f821c74e443d785fbdc46c501a8	figure_workflow_record	added	real_data_record_checked	Records all-channel count conservation common scale author approval and two adopted appendix checksums.
-	plotting/records/cshine-event-display.json	0b57956a4a49b30d54d6a5a2e699f0432b495f500e713d54c2d3f96fb7012dec	figure_workflow_record	updated	numerical_validation_record_checked	Normalizes the previously closed event-display record to the current figure-workflow status vocabulary without changing its selections or adopted artifact.
DP-S500	analysis/data_preprocessing/config/central_beam_on_run_groups.tsv	b38579b10ecdc899bf73c6a8216f61986969628641a55132c4f6536ca64df954	run_group_manifest	added	local_structure_test_passed	Replaces historical source-text mutation with the exact 60 central beam-on run groups and one output filename per group.
DP-S502;DP-S600	analysis/data_preprocessing/include/gamma_raw_data.hpp	e86d87becc3b9fcf9444ee4e01d4c2d62d24ca02cc219d089b2613445a63d728	public_raw_branch_definition	migrated	server_compile_and_synthetic_test_passed	Defines the 15 raw low-gain high-gain and gamma-TDC branch names three veto ADC/TDC branches four T0 branches and historical storage dimensions required through M8.
DP-S503;DP-S600	analysis/data_preprocessing/include/calibrated_event_tree.h	9e1ff39d357770d145a1f7f4b83729b43bf0da46333f3e986313ce1f3a35be39	public_analysis_header	migrated	server_root_synthetic_test_passed	Defines the bounded M6 event-level production contract and retains all raw arrays including the three veto faces needed by M8 without applying reconstruction logic.
DP-S503;DP-S600;DP-S710	analysis/data_preprocessing/src/calibrated_event_tree.cxx	f16fe6f2a83728e80440018fe5cb3a8a61396f60327acee9a72c82b6c7ec6870	analysis_implementation	migrated	server_root_synthetic_test_passed	Preserves the central calibration object exact dual-gain energy rule strict production time correction raw gamma veto T0 and 32-element trigger-monitor arrays output tree schema input validation report and overwrite protection.
DP-S503;DP-S600	analysis/data_preprocessing/apps/build_calibrated_event_tree.cxx	30cdb625fb174bb2e76c132083c98b23c1bd9f8711a910368ed7b471d022d62a	command_line_entry	added	server_config_and_synthetic_test_passed	Accepts repeated files or patterns calibration output and report paths and prints the bounded production configuration including retained veto storage for downstream reconstruction.
DP-S500;DP-S502;DP-S503;DP-S600	analysis/data_preprocessing/tests/test_calibrated_event_tree.cxx	196e88dd94919969fd698ef9448f0a3ee410b92ee743e0cfa7f1adbbe5b85488	synthetic_root_validation	added	server_root_test_passed	Checks exact energy branch paths strict time boundaries array schemas raw gamma veto and T0 retention reports overwrite rejection nested output creation and missing-branch failure.
DP-S504	analysis/data_preprocessing/include/neighbor_time_diagnostics.h	d07eefa9aa3f6b208935006a91a61ae9f4393038ba36fe39946835681c786ce7	public_analysis_header	migrated	server_root_synthetic_test_passed	Defines the bounded M7 CsI05--CsI06 diagnostic contract summaries and portable production entry.
DP-S504	analysis/data_preprocessing/src/neighbor_time_diagnostics.cxx	b9bb890fc349875716aa19272a18a3aabb643f9209c216bd4e225a0ce6b3274d	analysis_implementation	migrated	server_root_synthetic_test_passed	Preserves the exact 60-file input tree expressions 30 MeV selection six ROOT object names types and binning while keeping the selected time-difference object unscaled.
DP-S504	analysis/data_preprocessing/apps/build_neighbor_time_diagnostics.cxx	6c04effe82ba1b504129ca17b426b07c845699a8392509ecbca42ed518b3848a	command_line_entry	added	server_config_and_synthetic_test_passed	Accepts repeated M6 event trees protected output and report paths and prints the frozen M7 definition.
DP-S504	analysis/data_preprocessing/tests/test_neighbor_time_diagnostics.cxx	4a69259822403ede1e54f51c4019d4d57c4f62c10d6139dfb313e741b38da775	synthetic_root_validation	added	server_root_test_passed	Checks all six exact ROOT objects selected and no-cut counts subset behavior unscaled storage historical peak ratio reports nested output overwrite rejection and missing branch failure.
DP-S504	plotting/root/draw_neighbor_time_diagnostics.C	e39256e693108cf3c8098ad866ddc30065ad2f00190a8e03b9f324def4493afa	root_rendering_entry	added	code_reviewed	Reads all six M7 objects and applies the historical peak-height ratio only to a display clone.
DP-S504	plotting/plot_neighbor_time_correlation.py	50177b8836c2091b6e2d757e06459bf319b61feac641013799b95a2f788e8a6c	python_rendering_entry	migrated	python_syntax_and_prior_real_data_route_passed	Preferred mode reads h2_all and h2_cut from M7; the direct-tree route remains only for provenance of the adopted output.
DP-S504	plotting/plot_unit_time_and_neighbor_difference.py	4eb2c8335ed1e60b8734baa54283a8e4eb45ce39b72f687a3c34c3e93217a5c9	python_rendering_entry	migrated	python_syntax_and_synthetic_m7_read_passed	Preferred mode reads h3 h1 and hh_diff from M7 and applies the recorded display-only peak ratio; the direct-tree route retains the prior real-data check.
DP-S504	analysis/data_preprocessing/M7_NEIGHBOR_TIME_DIAGNOSTICS_MIGRATION_REVIEW.md	4358e8305affaacc4766d5439dc784d48231bfa1306f45b0dd6bca212a9da793	migration_review	added	contract_and_server_tests_reviewed	Records source identity object schema display boundary validation status server synthetic coverage and the next-stage boundary.
DP-S307	analysis/data_preprocessing/include/jiugong_recon.h	251c747bad6fe28503d2d840e8f7b2dc804b2dbcdb5b13fe553d957e7a41bc6d	historical_algorithm_header	migrated	server_boundary_and_streaming_test_passed	Preserves the historical result type orthogonal and diagonal adjacency descending-energy scan inclusive one-MeV threshold 50 ns aggregation 100 ns separation and placeholder behavior.
DP-S308	analysis/data_preprocessing/src/jiugong_recon.cxx	a9ed4165e1a2a8af0bd7bb8e77b2258ff27c856b9cf2d7f9da248df1cd6dfabb	root_class_translation_unit	migrated	server_dictionary_generation_passed	Provides the ROOT dictionary translation unit while retaining the implementation in the historical templated header.
DP-S307;DP-S600	analysis/data_preprocessing/include/shower_reconstruction.h	c3273f00dbca04ada84351f00474a00192a9c78ed76016f605036f74b31fac44	public_selection_header	added	server_boundary_test_passed	Defines central side lower-edge and corner roles plus the three-face veto and main-spectrum candidate contract surrounding the historical cluster result.
DP-S307;DP-S600	analysis/data_preprocessing/src/shower_reconstruction.cxx	166994b2d17bf993d1478a461265d032689a8a745a9619c7b058c110d861e8c8	selection_implementation	added	server_boundary_test_passed	Preserves central candidates without veto silence side candidates only when all three veto faces are silent strict 100-to-4000 TDC boundaries and exclusion of lower edges and corners from the main spectrum.
DP-S305;DP-S307;DP-S308	analysis/data_preprocessing/include/ReconstructionLinkDef.h	7e5de1dfb0ff13f3a41f642202041ab7541aa6754cfc677dcacb24e461c729df	root_dictionary_declarations	added	server_dictionary_and_streaming_test_passed	Regenerates dictionaries for jiugong_recon_result_t and the historical nested STL containers without copying generated code or absolute build paths.
DP-S600	analysis/data_preprocessing/include/reconstructed_event_tree.h	ed2130bda87daf7b97a411361f9c4d7f9c34cf4a6716bc034e9db01da1630742	public_analysis_header	added	server_root_synthetic_test_passed	Defines the M8 per-event reconstruction contract and records that per-run detector and reconstructed histogram families are retained for M9.
DP-S600;DP-S710	analysis/data_preprocessing/src/reconstructed_event_tree.cxx	206bbac90f4f4b6656b95c7b5285c500999fc0b835d47dc81741475e94178c7f	analysis_implementation	migrated	server_root_synthetic_test_passed	Retains every M6 branch including the 32-element trigger-monitor array appends recon_result and count_veto and preserves all per-crystal histogram families including zero-energy placeholders.
DP-S600	analysis/data_preprocessing/apps/build_reconstructed_event_tree.cxx	7a84944df5183ce6ef1ed52b361c0e78030c57fcbe72cf399cd65d6e25361754	command_line_entry	added	server_build_and_root_test_passed	Prints the per-run detector and reconstructed histogram schemas in addition to the frozen reconstruction and veto definitions.
